Designator,Mid X,Mid Y,Rotation,Layer
D1,71.425,-36.301541,90.0,bottom
D10,238.1125,-31.403125,270.0,bottom
D11,257.1625,-31.403125,270.0,bottom
D12,276.2125,-31.403125,270.0,bottom
D13,295.2625,-31.403125,270.0,bottom
D14,319.075,-31.403125,270.0,bottom
D15,336.934375,-31.403125,270.0,bottom
D16,55.351557,-55.215625,270.0,bottom
D17,71.425,-55.215625,270.0,bottom
D18,89.879711,-55.215625,270.0,bottom
D19,109.52504,-55.810931,270.0,bottom
D2,76.1875,-36.301541,90.0,bottom
D20,128.575056,-55.810931,270.0,bottom
D21,147.625072,-55.810931,270.0,bottom
D22,166.675088,-55.810931,270.0,bottom
D23,185.725104,-55.810931,270.0,bottom
D24,204.775,-55.810931,270.0,bottom
D25,223.825,-55.810931,270.0,bottom
D26,242.875152,-55.810931,270.0,bottom
D27,261.925168,-55.810931,270.0,bottom
D28,280.975184,-55.810931,270.0,bottom
D29,313.122086,-55.215625,270.0,bottom
D3,95.237528,-36.301541,90.0,bottom
D30,338.125,-55.215625,270.0,bottom
D31,58.328125,-74.265625,270.0,bottom
D32,82.140625,-74.265625,270.0,bottom
D33,101.190658,-74.860947,270.0,bottom
D34,120.240625,-74.860947,270.0,bottom
D35,139.29069,-74.860947,270.0,bottom
D36,158.340625,-74.860947,270.0,bottom
D37,177.390722,-74.860947,270.0,bottom
D38,196.440625,-74.265625,270.0,bottom
D39,215.490625,-74.265625,270.0,bottom
D4,114.2875,-31.403125,270.0,bottom
D40,234.540625,-74.265625,270.0,bottom
D41,253.590625,-74.265625,270.0,bottom
D42,272.640625,-74.265625,270.0,bottom
D43,291.690625,-74.265625,270.0,bottom
D44,315.503125,-74.265625,270.0,bottom
D45,339.315625,-74.265625,270.0,bottom
D46,60.709374,-93.31565,270.0,bottom
D47,86.903125,-93.315625,270.0,bottom
D48,105.953125,-93.315625,270.0,bottom
D49,125.003125,-93.315625,270.0,bottom
D5,133.3375,-31.403125,270.0,bottom
D50,144.053125,-93.315625,270.0,bottom
D51,163.103125,-93.315625,270.0,bottom
D52,182.153125,-93.315625,270.0,bottom
D53,201.203125,-93.315625,270.0,bottom
D54,220.253125,-93.315625,270.0,bottom
D55,239.303125,-93.315625,270.0,bottom
D56,258.353125,-93.315625,270.0,bottom
D57,277.403125,-93.315625,270.0,bottom
D58,309.55,-93.315625,270.0,bottom
D59,339.315625,-93.315625,270.0,bottom
D6,157.15,-31.403125,270.0,bottom
D60,66.6625,-112.365625,270.0,bottom
D61,96.428125,-112.365625,270.0,bottom
D62,115.478125,-112.365625,270.0,bottom
D63,134.528125,-112.365625,270.0,bottom
D64,153.578125,-112.365625,270.0,bottom
D65,172.628125,-112.365625,270.0,bottom
D66,191.678125,-112.365625,270.0,bottom
D67,210.728125,-112.365625,270.0,bottom
D68,229.778125,-112.365625,270.0,bottom
D69,248.828125,-112.365625,270.0,bottom
D7,176.2,-31.403125,270.0,bottom
D70,267.878125,-112.365625,270.0,bottom
D71,294.071875,-112.365625,270.0,bottom
D72,320.265625,-112.365625,270.0,bottom
D73,339.315625,-112.365625,270.0,bottom
D74,55.946875,-131.415625,270.0,bottom
D75,79.759375,-131.415625,270.0,bottom
D76,103.571875,-131.415625,270.0,bottom
D77,175.009375,-131.415625,270.0,bottom
D78,244.065625,-131.415625,270.0,bottom
D79,263.115625,-131.415625,270.0,bottom
D8,195.25,-31.403125,270.0,bottom
D80,282.165625,-131.415625,270.0,bottom
D81,301.215625,-131.415625,270.0,bottom
D82,320.265625,-131.415625,270.0,bottom
D83,339.315625,-131.415625,270.0,bottom
D9,214.3,-31.403125,270.0,bottom
J1,78.251284,-38.127175,90.0,bottom
S1,319.075,-61.9,0.0,top
S2,316.69375,-100.0,0.0,top
S3,73.80625,-119.05,0.0,top
SW1,61.9,-37.5795,0.0,top
SW10,247.6375,-37.5795,0.0,top
SW11,266.6875,-37.5795,0.0,top
SW12,285.7375,-37.5795,0.0,top
SW13,304.7875,-37.5795,0.0,top
SW14,328.6,-37.5795,0.0,top
SW15,347.4,-38.0875,270.0,top
SW16,61.9,-61.392,0.0,top
SW17,80.95,-61.392,0.0,top
SW18,100.0,-61.392,0.0,top
SW19,119.05,-61.392,0.0,top
SW2,85.7125,-37.5795,0.0,top
SW20,138.1,-61.392,0.0,top
SW21,157.15,-61.392,0.0,top
SW22,176.2,-61.392,0.0,top
SW23,195.25,-61.392,0.0,top
SW24,214.3,-61.392,0.0,top
SW25,233.35,-61.392,0.0,top
SW26,252.4,-61.392,0.0,top
SW27,271.45,-61.392,0.0,top
SW28,290.5,-61.392,0.0,top
SW29,319.075,-61.392,0.0,top
SW3,104.7625,-37.5795,0.0,top
SW30,347.65,-61.392,0.0,top
